id,country,name,capital,latitude,longitude
1,Somaliland,Hargeisa,1,9.55,44.05
2,South Georgia and South Sandwich Islands,King Edward Point,1,-54.283333,-36.5
3,French Southern and Antarctic Lands,Port-aux-Français,1,-49.35,70.216667
4,Palestine,Jerusalem,1,31.76666667,35.233333
5,Aland Islands,Mariehamn,1,60.116667,19.9
6,Nauru,Yaren,1,-0.5477,166.920867
7,Saint Martin,Marigot,1,18.0731,-63.0822
8,Tokelau,Atafu,1,-9.166667,-171.833333
9,Western Sahara,El-Aaiún,1,27.153611,-13.203333
10,Afghanistan,Kabul,1,34.51666667,69.183333
11,Albania,Tirana,1,41.31666667,19.816667
12,Algeria,Algiers,1,36.75,3.05
13,American Samoa,Pago Pago,1,-14.26666667,-170.7
14,Andorra,Andorra la Vella,1,42.5,1.516667
15,Angola,Luanda,1,-8.833333333,13.216667
16,Anguilla,The Valley,1,18.21666667,-63.05
17,Antigua and Barbuda,Saint John's,1,17.11666667,-61.85
18,Argentina,Buenos Aires,1,-34.58333333,-58.666667
19,Armenia,Yerevan,1,40.16666667,44.5
20,Aruba,Oranjestad,1,12.51666667,-70.033333
21,Australia,Canberra,1,-35.26666667,149.133333
22,Austria,Vienna,1,48.2,16.366667
23,Azerbaijan,Baku,1,40.38333333,49.866667
24,Bahamas,Nassau,1,25.08333333,-77.35
25,Bahrain,Manama,1,26.23333333,50.566667
26,Bangladesh,Dhaka,1,23.71666667,90.4
27,Barbados,Bridgetown,1,13.1,-59.616667
28,Belarus,Minsk,1,53.9,27.566667
29,Belgium,Brussels,1,50.83333333,4.333333
30,Belize,Belmopan,1,17.25,-88.766667
31,Benin,Porto-Novo,1,6.483333333,2.616667
32,Bermuda,Hamilton,1,32.28333333,-64.783333
33,Bhutan,Thimphu,1,27.46666667,89.633333
34,Bolivia,La Paz,1,-16.5,-68.15
35,Bosnia and Herzegovina,Sarajevo,1,43.86666667,18.416667
36,Botswana,Gaborone,1,-24.63333333,25.9
